query_id,candidate_id,job_position_name,matched_score,overlap_ratio,title_similarity,missing_required,label,label_type
JOB_31524f9e52,CAND_51f34f9244,"Full Stack Developer (Python,React js)",,0.0,0.0,1,0,easy_negative
JOB_31524f9e52,CAND_35145fd098,"Full Stack Developer (Python,React js)",,0.0,0.04878,1,0,easy_negative
JOB_6c53731cae,CAND_8a82cc1a5d,"Full Stack Developer (Python,React js)",0.85,1.0,0.111111,0,1,positive
JOB_6c53731cae,CAND_51f34f9244,"Full Stack Developer (Python,React js)",,0.0,0.0,1,0,easy_negative
JOB_6c53731cae,CAND_33f5d46cc4,"Full Stack Developer (Python,React js)",,0.0,0.04878,1,0,easy_negative
JOB_91f711e030,CAND_106aadbaec,"Full Stack Developer (Python,React js)",0.85,1.0,0.2,0,1,positive
JOB_91f711e030,CAND_51f34f9244,"Full Stack Developer (Python,React js)",,0.0,0.0,1,0,easy_negative
JOB_91f711e030,CAND_24ffeda684,"Full Stack Developer (Python,React js)",,0.0,0.04878,1,0,easy_negative
JOB_161c7571fd,CAND_e351213283,Machine Learning (ML) Engineer,0.793333333,1.0,0.48,0,1,positive
JOB_161c7571fd,CAND_ade04ba2ba,Machine Learning (ML) Engineer,,0.0,0.909091,1,0,hard_negative
JOB_161c7571fd,CAND_15a033ed46,Machine Learning (ML) Engineer,,0.0,0.792453,1,0,hard_negative
JOB_161c7571fd,CAND_51f34f9244,Machine Learning (ML) Engineer,,0.0,0.0,1,0,easy_negative
JOB_161c7571fd,CAND_24ffeda684,Machine Learning (ML) Engineer,,0.0,0.060606,1,0,easy_negative
JOB_492bf54d7d,CAND_8ad368a3a0,Senior Software Engineer,0.85,1.0,0.242424,0,1,positive
JOB_492bf54d7d,CAND_7f7ff3072c,Senior Software Engineer,,0.0,0.829268,1,0,hard_negative
JOB_492bf54d7d,CAND_e351213283,Senior Software Engineer,,0.0,0.727273,1,0,hard_negative
JOB_492bf54d7d,CAND_51f34f9244,Senior Software Engineer,,0.0,0.0,1,0,easy_negative
JOB_492bf54d7d,CAND_cbc4e4dcb2,Senior Software Engineer,,0.0,0.093023,1,0,easy_negative
JOB_d00deaee37,CAND_8a82cc1a5d,Machine Learning (ML) Engineer,0.85,1.0,0.173913,0,1,positive
JOB_d00deaee37,CAND_e0bc4d5c14,Machine Learning (ML) Engineer,,0.0,0.909091,1,0,hard_negative
JOB_d00deaee37,CAND_ade04ba2ba,Machine Learning (ML) Engineer,,0.0,0.909091,1,0,hard_negative
JOB_d00deaee37,CAND_51f34f9244,Machine Learning (ML) Engineer,,0.0,0.0,1,0,easy_negative
JOB_d00deaee37,CAND_19545d743b,Machine Learning (ML) Engineer,,0.0,0.060606,1,0,easy_negative
JOB_b844ddb15a,CAND_8a82cc1a5d,Executive/ Sr. Executive -IT,0.85,1.0,0.181818,0,1,positive
JOB_b844ddb15a,CAND_51f34f9244,Executive/ Sr. Executive -IT,,0.0,0.0,1,0,easy_negative
JOB_b844ddb15a,CAND_3b0d6b7648,Executive/ Sr. Executive -IT,,0.0,0.051282,1,0,easy_negative
JOB_fd88e7ba1c,CAND_8ad368a3a0,Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,1.0,0.058824,0,1,positive
JOB_fd88e7ba1c,CAND_51f34f9244,Intern (Generative AI Engineering - 2D/3D Image Generation),,0.0,0.0,1,0,easy_negative
JOB_fd88e7ba1c,CAND_c97d0eb47c,Intern (Generative AI Engineering - 2D/3D Image Generation),,0.0,0.032258,1,0,easy_negative
JOB_f9d210af12,CAND_f43923f83f,Machine Learning (ML) Engineer,0.85,1.0,0.516129,0,1,positive
JOB_f9d210af12,CAND_f904c6efdc,Machine Learning (ML) Engineer,,0.0,0.909091,1,0,hard_negative
JOB_f9d210af12,CAND_e0bc4d5c14,Machine Learning (ML) Engineer,,0.0,0.909091,1,0,hard_negative
JOB_f9d210af12,CAND_51f34f9244,Machine Learning (ML) Engineer,,0.0,0.0,1,0,easy_negative
JOB_f9d210af12,CAND_33f5d46cc4,Machine Learning (ML) Engineer,,0.0,0.060606,1,0,easy_negative
JOB_b2fa7432e1,CAND_2bd388692a,Intern (Generative AI Engineering - 2D/3D Image Generation),0.816666667,1.0,0.173913,0,1,positive
JOB_b2fa7432e1,CAND_51f34f9244,Intern (Generative AI Engineering - 2D/3D Image Generation),,0.0,0.0,1,0,easy_negative
JOB_b2fa7432e1,CAND_16ed621935,Intern (Generative AI Engineering - 2D/3D Image Generation),,0.0,0.057971,1,0,easy_negative
JOB_f99846bab3,CAND_106aadbaec,Senior Software Engineer,0.816666667,1.0,0.321429,0,1,positive
JOB_f99846bab3,CAND_a6da62d80a,Senior Software Engineer,,0.0,0.708333,1,0,hard_negative
JOB_f99846bab3,CAND_e03993e862,Senior Software Engineer,,0.0,0.666667,1,0,hard_negative
JOB_f99846bab3,CAND_51f34f9244,Senior Software Engineer,,0.0,0.0,1,0,easy_negative
JOB_f99846bab3,CAND_cbc4e4dcb2,Senior Software Engineer,,0.0,0.093023,1,0,easy_negative
JOB_e4406d80bb,CAND_f43923f83f,Intern (Generative AI Engineering - 2D/3D Image Generation),0.826666667,1.0,0.417582,0,1,positive
JOB_e4406d80bb,CAND_51f34f9244,Intern (Generative AI Engineering - 2D/3D Image Generation),,0.0,0.0,1,0,easy_negative
JOB_e4406d80bb,CAND_4126dcbb1a,Intern (Generative AI Engineering - 2D/3D Image Generation),,0.0,0.032258,1,0,easy_negative
JOB_46b11bd6fd,CAND_8ad368a3a0,Machine Learning (ML) Engineer,0.85,1.0,0.205128,0,1,positive
JOB_46b11bd6fd,CAND_ade04ba2ba,Machine Learning (ML) Engineer,,0.0,0.909091,1,0,hard_negative
JOB_46b11bd6fd,CAND_f904c6efdc,Machine Learning (ML) Engineer,,0.0,0.909091,1,0,hard_negative
JOB_46b11bd6fd,CAND_51f34f9244,Machine Learning (ML) Engineer,,0.0,0.0,1,0,easy_negative
JOB_46b11bd6fd,CAND_4126dcbb1a,Machine Learning (ML) Engineer,,0.0,0.060606,1,0,easy_negative
JOB_c00763e392,CAND_dba5115197,Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,1.0,0.166667,0,1,positive
JOB_c00763e392,CAND_51f34f9244,Intern (Generative AI Engineering - 2D/3D Image Generation),,0.0,0.0,1,0,easy_negative
JOB_c00763e392,CAND_b27946a62c,Intern (Generative AI Engineering - 2D/3D Image Generation),,0.0,0.032258,1,0,easy_negative
JOB_51b172dc59,CAND_e60b182857,Intern (Generative AI Engineering - 2D/3D Image Generation),0.85,1.0,0.077922,0,1,positive
JOB_51b172dc59,CAND_51f34f9244,Intern (Generative AI Engineering - 2D/3D Image Generation),,0.0,0.0,1,0,easy_negative
JOB_51b172dc59,CAND_b27946a62c,Intern (Generative AI Engineering - 2D/3D Image Generation),,0.0,0.032258,1,0,easy_negative
